name	fullName	type	api.link.self.href	endLeaf
Afro American	\Public Studies\GSE8581\Subjects\Ethnicity\Afro American\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Ethnicity/Afro%20American	FALSE
Age (year)	\Public Studies\GSE8581\Subjects\Age (year)\	NUMERIC	/studies/gse8581/concepts/Subjects/Age%20%28year%29	TRUE
Biomarker_Data	\Public Studies\GSE8581\MRNA\Biomarker_Data\	UNKNOWN	/studies/gse8581/concepts/MRNA/Biomarker_Data	FALSE
carcinoid	\Public Studies\GSE8581\Endpoints\Diagnosis\carcinoid\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/carcinoid	FALSE
Caucasian	\Public Studies\GSE8581\Subjects\Ethnicity\Caucasian\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Ethnicity/Caucasian	FALSE
chronic obstructive pulmonary disease	\Public Studies\GSE8581\Subjects\Lung Disease\chronic obstructive pulmonary disease\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Lung%20Disease/chronic%20obstructive%20pulmonary%20disease	FALSE
control	\Public Studies\GSE8581\Subjects\Lung Disease\control\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Lung%20Disease/control	FALSE
Diagnosis	\Public Studies\GSE8581\Endpoints\Diagnosis\	CATEGORICAL_NODE	/studies/gse8581/concepts/Endpoints/Diagnosis	TRUE
emphysema	\Public Studies\GSE8581\Endpoints\Diagnosis\emphysema\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/emphysema	FALSE
Endpoints	\Public Studies\GSE8581\Endpoints\	UNKNOWN	/studies/gse8581/concepts/Endpoints	FALSE
Ethnicity	\Public Studies\GSE8581\Subjects\Ethnicity\	CATEGORICAL_NODE	/studies/gse8581/concepts/Subjects/Ethnicity	TRUE
female	\Public Studies\GSE8581\Subjects\Sex\female\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Sex/female	FALSE
FEV1	\Public Studies\GSE8581\Endpoints\FEV1\	NUMERIC	/studies/gse8581/concepts/Endpoints/FEV1	TRUE
Forced Expiratory Volume Ratio	\Public Studies\GSE8581\Endpoints\Forced Expiratory Volume Ratio\	NUMERIC	/studies/gse8581/concepts/Endpoints/Forced%20Expiratory%20Volume%20Ratio	TRUE
giant bullae	\Public Studies\GSE8581\Endpoints\Diagnosis\giant bullae\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/giant%20bullae	FALSE
Giant Cell Tumor	\Public Studies\GSE8581\Endpoints\Diagnosis\Giant Cell Tumor\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/Giant%20Cell%20Tumor	FALSE
GPL570_BOGUS	\Public Studies\GSE8581\MRNA\Biomarker_Data\GPL570_BOGUS\	UNKNOWN	/studies/gse8581/concepts/MRNA/Biomarker_Data/GPL570_BOGUS	FALSE
Height (inch)	\Public Studies\GSE8581\Subjects\Height (inch)\	NUMERIC	/studies/gse8581/concepts/Subjects/Height%20%28inch%29	TRUE
hematoma	\Public Studies\GSE8581\Endpoints\Diagnosis\hematoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/hematoma	FALSE
Homo sapiens	\Public Studies\GSE8581\Subjects\Organism\Homo sapiens\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Organism/Homo%20sapiens	FALSE
inflammation	\Public Studies\GSE8581\Endpoints\Diagnosis\inflammation\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/inflammation	FALSE
Lung	\Public Studies\GSE8581\MRNA\Biomarker_Data\GPL570_BOGUS\Lung\	HIGH_DIMENSIONAL	/studies/gse8581/concepts/MRNA/Biomarker_Data/GPL570_BOGUS/Lung	TRUE
